run,threshold,dice,iou,precision,recall,specificity,fp,fn,gt_positive_fraction,predicted_positive_fraction
auto,0.7,0.20318959319393684,0.11308349084816265,0.14006716450657836,0.36987832725537645,0.8816610169130286,333144,92442,0.049531174878590295,0.13079802233182258
pos_weight_1.0,0.55,0.2041881493544766,0.11370241781235546,0.1391027605088113,0.3837360689819706,0.8762375375954606,348412,90409,0.049531174878590295,0.136639260575744
delta_posw1_minus_auto,-0.1499999999999999,0.0009985561605397597,0.0006189269641928147,-0.000964403997767066,0.013857741726594153,-0.005423479317567925,15268,-2033,0.0,0.0058412382439214094
