epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity
1,1.8889116801713641,1.6729623079299927,0.017963505440485725,0.009063155744000524,0.009065873408959356,0.9679834342147181,0.5759958278702861
2,1.7724394108119763,2.0351794958114624,0.014483904029984307,0.007294780465080166,0.007297126415160742,0.9577891048104492,0.4778390717139053
3,1.7029556663412797,1.813122312227885,0.010879480639569962,0.005469492941065273,0.005472696830352188,0.9033131570563874,0.34215931969263097
4,1.690100726328398,1.9622053305308025,0.016588810177665284,0.008363777648724084,0.008365913981595538,0.9703727301688436,0.5390607346165484
5,1.7054442167282104,1.7254305680592854,0.01879977818319175,0.009489085442334497,0.009495710854954965,0.9315068493150684,0.6106125038778593
6,1.6894121044560482,1.4136086304982503,0.023382306380042815,0.01182945313882155,0.011867187275151818,0.7881490920675375,0.7370077352919022
7,1.6304993566713835,1.6161056359608967,0.017319763525695024,0.00873553042345035,0.008744110816576629,0.8990124243389614,0.5915838645308972
8,1.663728864569413,1.5621400276819866,0.017015732072193805,0.008580870936497662,0.008594661527311491,0.8424657534246576,0.6105588840957343
9,1.6277820562061511,1.648617108662923,0.01562272034168568,0.007872857899469461,0.007875194439201547,0.9636827014972922,0.5134738852511129
10,1.5940338749634593,1.7010912497838337,0.017203769310897093,0.008676519071714232,0.008679318330095139,0.9641605606881173,0.5586887665279787
11,1.6342634778273732,1.4641141891479492,0.021778277066933197,0.01100901724739076,0.011032165467836624,0.8399171710735903,0.6982655277144058
12,1.6610931848224841,1.7067660093307495,0.01856911164104679,0.00937156665425054,0.009375822028484462,0.9538069448869066,0.5961434610037368
13,1.5933734429510016,1.5937097072601318,0.02476675567863383,0.012538648663309119,0.01254566329193195,0.9573112456196241,0.6980440269477705
14,1.574864243206225,1.445922056833903,0.02721068538559033,0.013793001200895482,0.013816763283350082,0.889136667728576,0.7456762667354362
15,1.526692597489608,1.550531228383382,0.022531574515857425,0.01139415134294295,0.011399695553721136,0.9590633959859828,0.6666949659961215
16,1.5532604832398265,1.495405117670695,0.025933241720549068,0.013136962877158145,0.013146360904480228,0.9483912073908888,0.7146999909357035
17,1.5924185075257953,1.6555880308151245,0.02450751504902765,0.012405774881819343,0.01241772669917812,0.9280025485823511,0.7042345584602441
18,1.5273506515904476,1.6767229636510212,0.016560514636744607,0.008349392436196078,0.008349974719398738,0.9917171073590315,0.5280150594988082
19,1.5327894499427395,1.6609647274017334,0.021935678988606516,0.011089466988308398,0.011097909059482904,0.9358075820324945,0.665831304505466
20,1.510460282626905,1.6312681436538696,0.020625996073844553,0.010420464264425113,0.010424913312982483,0.9606562599553998,0.6345639498884836
