run,architecture,features,parameters,best_epoch,threshold,dice,iou,precision,recall,specificity,fp,fn,gt_positive_fraction,predicted_positive_fraction,pos_weight
deep_7ch,Deep,7ch,7767137,21,0.45,0.40849057837284886,0.2566686523006632,0.2960911461430049,0.6584425664198131,0.7396470084542242,13034704,2844173,0.14260496060321093,0.31712253968723697,4.596402144897774
deep_3ch,Deep,3ch,7765985,26,0.5,0.3433544702626921,0.20725886383017458,0.23274021856980048,0.654344006433955,0.6412178804548161,17962608,2878302,0.14260496060321093,0.40093071078076775,4.596402144897774
shallow_7ch,Shallow,7ch,468961,21,0.5,0.3227769887807934,0.19244726945772134,0.21048287604537952,0.6919226460300386,0.5683258962433316,21611982,2565382,0.14260496060321093,0.46878683687460543,4.596402144897774
shallow_3ch,Shallow,3ch,467809,4,0.45,0.29006157269223437,0.16963275873560282,0.18258493447234905,0.7051268086941975,0.47495250472356165,26286768,2455430,0.14260496060321093,0.5507276986718311,4.596402144897774
