tile_name,expected_bytes,actual_bytes,path,status,download_url
USGS_LPC_OR_WesternWildfires_A22_s05100w13860.laz,195507242,195507242,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05100w13860.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05100w13860.laz
USGS_LPC_OR_WesternWildfires_A22_s05250w14040.laz,149915480,149915480,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05250w14040.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05250w14040.laz
USGS_LPC_OR_WesternWildfires_A22_s04500w14220.laz,168411016,168411016,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04500w14220.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04500w14220.laz
USGS_LPC_OR_WesternWildfires_A22_s05280w14070.laz,222394020,222394020,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05280w14070.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05280w14070.laz
USGS_LPC_OR_WesternWildfires_A22_s04590w13860.laz,118479661,118479661,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04590w13860.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04590w13860.laz
USGS_LPC_OR_WesternWildfires_A22_s05310w14160.laz,258883787,258883787,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s05310w14160.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w14160.laz
USGS_LPC_OR_WesternWildfires_A22_s04500w14280.laz,85365433,85365433,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04500w14280.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04500w14280.laz
USGS_LPC_OR_WesternWildfires_A22_s04680w13770.laz,156311731,156311731,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04680w13770.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04680w13770.laz
USGS_LPC_OR_WesternWildfires_A22_s04590w13770.laz,151108841,151108841,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04590w13770.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04590w13770.laz
USGS_LPC_OR_WesternWildfires_A22_s04470w14250.laz,15014612,15014612,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04470w14250.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04470w14250.laz
