epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity,validation_gt_positive_fraction,validation_predicted_positive_fraction,lr_sam_adapter,lr_task,elapsed_hours
1,4.261733526881737,4.066241088272077,0.06460954344139001,0.033383208655619105,0.22046415199127625,0.03785112436293626,0.9777397231886505,0.14260496060321093,0.024483609012214157,3.3333333333333335e-05,9.999999999999999e-05,0.1626187382804023
2,4.176758474277545,4.0277124794511545,0.20102474478588947,0.11174402994329341,0.2821067695835217,0.15614590052132377,0.9339107834825595,0.14260496060321093,0.07893174639187009,6.666666666666667e-05,0.00019999999999999998,0.32039466824796464
3,4.037594278432146,3.9570784764123954,0.39316167958064435,0.24468029831279867,0.38619027354059904,0.40038940462979117,0.8941554070012876,0.14260496060321093,0.14784814425724258,0.0001,0.0003,0.4779695154560937
4,3.825599685741376,3.966671763579586,0.14645054957698492,0.07901086725447877,0.48130182504467245,0.08636482143601273,0.9845194011325762,0.14260496060321093,0.02558904063420665,9.982167568285506e-05,0.00029946502704856516,0.8337929672665066
5,3.5874676665776892,4.05568488442269,0.42336795082210926,0.268526794849101,0.3903079164918638,0.46254679466525506,0.8798254406901518,0.14260496060321093,0.16899853844433924,9.928798756221157e-05,0.00029786396268663466,0.9911296391487121
6,3.33829632636867,4.149155291911595,0.2299600826270295,0.12991802070109693,0.46361126212220577,0.15290094199989407,0.9705768272985562,0.14260496060321093,0.04703171512762171,9.84027808732082e-05,0.00029520834261962455,1.1484618583652708
7,3.142106664799437,4.164610621938534,0.38899846895718987,0.24146374876837579,0.37592366773747865,0.40301553811658386,0.8887209267139121,0.14260496060321093,0.1528821403597608,9.717243355032368e-05,0.00029151730065097095,1.3050588022338019
8,2.9722668680963635,4.2662046693671,0.38516959418881974,0.23852015221086753,0.36899829039219334,0.4028232736336702,0.8854290793631263,0.14260496060321093,0.15567713607976466,9.560581027421272e-05,0.0002868174308226381,1.4621522882911895
9,2.783244644727888,5.023870929671132,0.3949251289826473,0.24604779260691428,0.3841930076791518,0.40627406683574574,0.8916901567256736,0.14260496060321093,0.15080101963646886,9.371419860147881e-05,0.0002811425958044364,1.6190793787108528
10,2.647399834319006,4.378061190816155,0.32698146417202245,0.19544401760629582,0.42934020498974895,0.26403341583132894,0.9416301902877041,0.14260496060321093,0.08769846016041491,9.15112276375702e-05,0.0002745336829127106,1.7756771912177405
11,2.5581814864315566,4.712346985300649,0.21325082807909848,0.11935129531910538,0.5159916953562325,0.1343975570761916,0.979032090058814,0.14260496060321093,0.03714354030210964,8.901276983876276e-05,0.00026703830951628824,1.932953280740314
12,1.9712463277276557,5.624525394673249,0.306880752500377,0.181251706253753,0.5195726223133081,0.21774487091559566,0.9665124720104191,0.14260496060321093,0.05976353911839752,8.623682665074896e-05,0.00025871047995224683,2.0897822469472884
13,1.3374184219048748,5.56269856260548,0.2862241678514015,0.1670137730280371,0.43161078846009526,0.21410397485502405,0.9531044179021064,0.14260496060321093,0.07074032835955037,8.320339880780902e-05,0.00024961019642342705,2.247327368987931
14,0.8309051133885602,7.083922565986813,0.0008726371974261881,0.0004365090557326169,0.42384337489803053,0.00043676822258390734,0.9999012493731961,0.14260496060321093,0.00014695361273323512,7.99343422270622e-05,0.00023980302668118655,2.403776306973563
15,0.720641506890283,5.8503047848657594,0.18270607420357052,0.10053743734574996,0.5408440018293915,0.10991932217222598,0.9844791338866951,0.14260496060321093,0.02898255422059133,7.645321053608297e-05,0.0002293596316082489,2.560267275571823
16,0.6294271111226629,5.6747168132033945,0.2934360349252198,0.17194552383060643,0.4926458596186822,0.2089453782728645,0.9642099085987448,0.14260496060321093,0.06048289426381874,7.278508536847482e-05,0.00021835525610542446,2.7171175995137955
17,0.5433738607655079,6.369850169032641,0.3032630941149213,0.17873312772478916,0.4629355777822047,0.2254890104815967,0.956490421898271,0.14260496060321093,0.06946074788685466,6.895639565012529e-05,0.00020686918695037582,2.873627356754409
18,0.46135820446058495,5.62666915995973,0.2946157485707879,0.17275622682916336,0.43474918077655633,0.22280018988669606,0.9518194613237198,0.14260496060321093,0.07308216715768799,6.499472717818924e-05,0.0001949841815345677,3.029961905148294
