epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity,validation_gt_positive_fraction,validation_predicted_positive_fraction,lr_sam_adapter,lr_task,elapsed_hours
19,0.39566303788589996,6.232464677356309,0.24292081633458118,0.13825262890419507,0.47923651560312336,0.16269466178443778,0.9705952431719205,0.14260496060321093,0.04841255847318673,6.092862386478846e-05,0.00018278587159436535,3.18653100391229
20,0.3507649823647181,5.839980005348304,0.29554488658892664,0.17339552345116427,0.4275018839787358,0.22583607129085365,0.9496982603091689,0.14260496060321093,0.07533380613316323,5.6787382077470496e-05,0.00017036214623241145,3.343041034473313
21,0.3032479199032959,6.536096702353856,0.2577864786895188,0.1479649167776023,0.514999760775103,0.17192143552036485,0.9730710995524763,0.14260496060321093,0.04760555519934589,5.260083955820935e-05,0.00015780251867462803,3.4996511863999897
22,0.26397045520555723,6.615988134936451,0.2760399306121321,0.16011967766176077,0.479635943180028,0.1937829039766804,0.9650324909336279,0.14260496060321093,0.05761537220074004,4.8399160441790674e-05,0.00014519748132537201,3.6562810665369034
23,0.24287072824501385,6.338230864099915,0.14015538170542563,0.07535865110814699,0.5424603907016504,0.08047367435680565,0.9887106701510351,0.14260496060321093,0.021155360571864477,4.4212617922529506e-05,0.00013263785376758848,3.813003960582945
24,0.22073614379398443,6.799933181634522,0.2740125520957446,0.15875697846381134,0.49392430225911904,0.18959739865313985,0.9676896897374749,0.14260496060321093,0.05474022930586244,4.007137613521156e-05,0.00012021412840563467,3.9697514473729663
25,0.19178404832537332,5.785774010868051,0.2494905632044042,0.14252454626072192,0.47563195979994555,0.16909403078225224,0.9689939010901818,0.14260496060321093,0.05069812299426557,3.600527282181076e-05,0.00010801581846543226,4.126299630668428
26,0.16831815114944784,6.743894001851579,0.27965691025807626,0.16255880116333588,0.48773906199670963,0.19602679021230873,0.9657569218566756,0.14260496060321093,0.05731423802916316,3.204360434987473e-05,9.613081304962417e-05,4.282920028633542
27,0.15028901221637342,6.80170782157936,0.3414784827070834,0.2058933086767869,0.43693706513146835,0.2802513632944885,0.9399325144128677,0.14260496060321093,0.09146679879305204,2.8214914631525168e-05,8.46447438945755e-05,4.4396246520015925
28,0.14012889162196684,7.174302966573289,0.22099564690357568,0.12422434296966413,0.47737676810972995,0.14377792623600782,0.9738197787079148,0.14260496060321093,0.042950237372641344,2.4546789463917038e-05,7.364036839175111e-05,4.596011949049102
29,0.12261338416887065,6.677218230083735,0.2929913650306736,0.17164023604130066,0.45463161250265854,0.2161434674929516,0.9568752976725192,0.14260496060321093,0.06779803651751894,2.106565777293781e-05,6.319697331881343e-05,4.752469382418527
30,0.11081196110913695,6.97781993958819,0.29545710955302645,0.17333509834742275,0.4785348367543961,0.21369987117919373,0.9612680227633777,0.14260496060321093,0.06368326685912949,1.7796601192190977e-05,5.338980357657293e-05,4.909018639127414
31,0.1001129782550653,7.565445647747429,0.33185148612780196,0.1989340177856767,0.4310837839072289,0.2697557160254788,0.9407878338588616,0.14260496060321093,0.08923672077765503,1.4763173349251041e-05,4.428952004775312e-05,5.06562978360388
32,0.0901181670282879,6.720443048461117,0.32467592504629217,0.19379887742332091,0.4304837236999203,0.26061888988336956,0.9426532300033725,0.14260496060321093,0.08633438264480744,1.1987230161237255e-05,3.596169048371176e-05,5.222389581667052
33,0.08221845954475347,6.197107440962401,0.3134474104535659,0.18585095560990572,0.41660994524075706,0.2512355184674179,0.9414854199513217,0.14260496060321093,0.08599754187929644,9.488772362429816e-06,2.8466317087289448e-05,5.379201318886545
34,0.0763195620966365,7.290719902475273,0.3258472213337067,0.1946341011919423,0.4381954579661913,0.25935229806494986,0.9446954145374146,0.14260496060321093,0.08440280147942095,7.285801398521186e-06,2.1857404195563556e-05,5.5358725616667
35,0.0711276913247192,6.892424538213128,0.313014658819465,0.1855467567966065,0.4315128039995037,0.2455766259228485,0.946189417244468,0.14260496060321093,0.0811573717864408,5.394189725787278e-06,1.6182569177361833e-05,5.692640341851447
36,0.06754120812707144,6.756356309192082,0.3386549285587156,0.20384382172026347,0.40127819493212985,0.2929390178131062,0.9273040190047019,0.14260496060321093,0.10410373058383313,3.827566449676332e-06,1.1482699349028994e-05,5.84914934264289
37,0.0648596947776637,7.803199703962982,0.31887684710537045,0.18968083721666357,0.45175009841661534,0.24640248654058552,0.9502630603646163,0.14260496060321093,0.07778242220380892,2.5972191267918064e-06,7.791657380375418e-06,6.005598485867182
38,0.06303205424566795,6.953599003897238,0.3278119599263584,0.19603773742570355,0.41602543404195264,0.2704632877514795,0.9368554257067816,0.14260496060321093,0.09270925125824214,1.7120124377884316e-06,5.136037313365294e-06,6.1621555575397275
39,0.0618451589481799,7.023173294217231,0.3198120679769179,0.19034303358662882,0.42242286547053554,0.2573090826294144,0.9414844412335399,0.14260496060321093,0.08686450140511012,1.1783243171449373e-06,3.5349729514348115e-06,6.318665202260018
40,0.06108442180961683,6.699373913132382,0.33052702947331114,0.19798285764940285,0.4251443009958728,0.2703579686062482,0.9391983562334985,0.14260496060321093,0.09068541521442726,1.0000000000000002e-06,2.9999999999999997e-06,6.475589370330175
