epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity,validation_ignore_fraction
1,1.7088192054467608,1.558110671383994,0.10419074304824745,0.05495845252690369,0.05700371337521531,0.6050168705906411,0.47842703470167136,0.16306333188657407
2,1.6918414230494536,1.6989937680108207,0.09896276988747411,0.05205724975813142,0.05299466462234199,0.7463821955625234,0.30493999112663656,0.16306333188657407
3,1.6807099026302958,1.6125295417649406,0.08502184640779122,0.044398337520615117,0.04640757566574799,0.506288129238949,0.45785880553444963,0.16306333188657407
4,1.6869755604470422,1.597850935799735,0.09832616132442173,0.05170506073370659,0.053519910114531485,0.6039262465491974,0.4434287557363382,0.16306333188657407
5,1.659288205841715,1.594696283340454,0.1153161733234693,0.06118595155921666,0.0628883062920459,0.6932824375447326,0.4616404639582661,0.16306333188657407
6,1.6440940429997999,1.5449404929365431,0.10537225246152242,0.055616335503596036,0.05786446169368616,0.5887324903718346,0.5004715528421582,0.16306333188657407
7,1.6756524864093278,1.5992649751050132,0.10315160301760408,0.05438052043679556,0.05583869310268672,0.6755802460720494,0.40470991596590894,0.16306333188657407
8,1.6547981925713,1.5823536685534887,0.1159259976895739,0.06152942907094663,0.0636924650459552,0.644354316485464,0.5063763535165055,0.16306333188657407
9,1.619566047838492,1.5390689969062805,0.08288603512996007,0.043234798060416225,0.04635076797897381,0.3914045192733717,0.580339283602003,0.16306333188657407
10,1.6305442530979481,1.6037455924919672,0.12422386630421352,0.06622531552283847,0.06858752187931501,0.6578712381991071,0.534436855788662,0.16306333188657407
11,1.61322717980821,1.5232503754752023,0.11693799218213081,0.06209991582679795,0.06493872843879896,0.5868716131011213,0.5596275460745312,0.16306333188657407
12,1.6000639662262082,1.6599235577242715,0.10416354447049717,0.05494331758770011,0.05701712173699043,0.6016904672642378,0.48142401498738796,0.16306333188657407
13,1.6118618157482887,1.458226033619472,0.12044263904163859,0.06408032100718994,0.06754535257831781,0.5553866603046931,0.6004524775972437,0.16306333188657407
14,1.619362005891726,1.5428585622991835,0.12062819139698873,0.06418537877646201,0.0677186716519329,0.5516035581609352,0.6042632639555664,0.16306333188657407
15,1.6023593170698298,1.5362645898546492,0.07542445668293422,0.039190177254844374,0.042276936582532475,0.3492791656726083,0.5876653143490244,0.16306333188657407
16,1.624786569166553,1.5927969089576177,0.11575799768446066,0.06143478255033377,0.06379705934830608,0.6239391977096895,0.5228528183230338,0.16306333188657407
17,1.601093746895014,1.6032181467328752,0.10903339759342429,0.0576601392402493,0.06038100252012175,0.5613237449303023,0.5447964543488895,0.16306333188657407
18,1.5823997490165769,1.442413602556501,0.13041953548911264,0.06975871751164907,0.07423903502562505,0.5361575951739886,0.6515826592170199,0.16306333188657407
19,1.5866263180740119,1.6484351115567344,0.11009400748632601,0.05825369511628206,0.06074527964392085,0.5868170818990491,0.5271598452241022,0.16306333188657407
20,1.59688732328341,1.579572251864842,0.12383452430963536,0.0660040523686049,0.06912573683224825,0.5937561773627348,0.5833224103578936,0.16306333188657407
21,1.579402199087217,1.5625447034835815,0.10810052699352085,0.05713862101866057,0.06050009638824698,0.5069970348658873,0.5897138606697223,0.16306333188657407
22,1.5547542803047238,1.5829098522663116,0.13058027617441037,0.06985069993120126,0.07281410785122344,0.6318530384104155,0.5807161706570161,0.16306333188657407
23,1.5591413965520933,1.475371092557907,0.1281753377180891,0.06847614538951134,0.07285765855178288,0.5324153914317848,0.6469285836328715,0.16306333188657407
24,1.5713017125462376,1.6151104739734106,0.12309276519724714,0.06558276451536144,0.06817369425073234,0.6331140724583347,0.5490370553505352,0.16306333188657407
25,1.5894154800001041,1.4962591316018785,0.11823872715020153,0.0628340740433759,0.06751531930959043,0.47540301966531473,0.6578298907311716,0.16306333188657407
26,1.574878126151802,1.6013494431972504,0.12346006370371047,0.06579133292914753,0.06827135186204446,0.6442725196823558,0.5417934353450434,0.16306333188657407
27,1.5675788064335667,1.7106944067137582,0.11757354650269737,0.062458507361209815,0.06425040038112229,0.6913124978698749,0.4753146083340704,0.16306333188657407
28,1.564584448356037,1.5813035879816328,0.13868895925923383,0.07451143641421601,0.07711569531390246,0.6881224225486521,0.5708481947962589,0.16306333188657407
29,1.5606177001036414,1.5395579593522208,0.09520128613826284,0.049979709375829184,0.05342624370369011,0.4365427217886234,0.5969422062705338,0.16306333188657407
30,1.5370173666828362,1.5402724742889404,0.1364231359408762,0.07320499549652493,0.07706248369250364,0.5938993217681743,0.6293338903162761,0.16306333188657407
