selection_rank,tile_name,selection_category,already_downloaded,size_bytes,size_gb,download_url,new_positive_polygon_count,positive_polygon_count,high_confidence_polygon_count,moderate_confidence_polygon_count,positive_intersection_m2,new_positive_intersection_m2,min_distance_to_existing_train_km,probe_accepted_patches_2m,probe_positive_patches_2m,probe_negative_patches_2m,probe_retained_polygon_count_2m,static_score,selection_reason,bbox_west,bbox_south,bbox_east,bbox_north
13,USGS_LPC_OR_WesternWildfires_A22_s05190w14070.laz,positive_diversity,False,178739708,0.17874,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05190w14070.laz,0,1,6,5,156909.401,0.0,0.879,,,,,22.8788,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.5987120258,45.5688079516,-123.5865650048,45.577338934
16,USGS_LPC_OR_WesternWildfires_A22_s05220w14070.laz,positive_diversity,False,124805762,0.124806,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05220w14070.laz,0,1,5,6,90835.951,0.0,1.792,,,,,22.2922,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.5870053072,45.5691177474,-123.5748598273,45.5776476002
6,USGS_LPC_OR_WesternWildfires_A22_s05160w13590.laz,positive_diversity,True,174189063,0.174189,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05160w13590.laz,0,1,1,1,335320.858,0.0,0.845,93,67,24,2,21.785,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=14.62; downloaded=yes,-123.6033355323,45.4369538839,-123.5912155882,45.4454859435
18,USGS_LPC_OR_WesternWildfires_A22_s05250w14040.laz,positive_diversity,False,149915480,0.149915,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05250w14040.laz,0,1,6,2,178251.447,0.0,2.74,,,,,21.7401,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.5748598232,45.5612050983,-123.5627176761,45.5697338198
21,USGS_LPC_OR_WesternWildfires_A22_s04890w13680.laz,positive_diversity,False,197435896,0.197436,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04890w13680.laz,0,1,5,1,210268.821,0.0,5.123,,,,,20.623,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.29; downloaded=no,-123.7098201155,45.4587726304,-123.6976810237,45.4673148414
15,USGS_LPC_OR_WesternWildfires_A22_s04470w14100.laz,positive_diversity,False,123310355,0.12331,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04470w14100.laz,0,1,3,3,105992.886,0.0,8.153,,,,,20.5,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=2.74; downloaded=no,-123.8801164585,45.5692413413,-123.8679308081,45.5777993851
9,USGS_LPC_OR_WesternWildfires_A22_s04470w14190.laz,positive_diversity,False,132418689,0.132419,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04470w14190.laz,0,1,3,5,57848.202,0.0,5.761,,,,,20.2606,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=6.65; downloaded=no,-123.8815635595,45.593901315,-123.8693724979,45.602459374
24,USGS_LPC_OR_WesternWildfires_A22_s04410w14010.laz,positive_diversity,False,182199066,0.182199,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w14010.laz,0,1,2,5,164371.852,0.0,8.373,,,,,20.0,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.9020706515,45.5439018278,-123.8898873501,45.5524621042
25,USGS_LPC_OR_WesternWildfires_A22_s04500w14100.laz,positive_diversity,False,183928244,0.183928,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04500w14100.laz,0,1,3,3,119902.731,0.0,7.239,,,,,19.7388,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.8684112302,45.5695793088,-123.8562271086,45.5781362271
20,USGS_LPC_OR_WesternWildfires_A22_s04830w13620.laz,positive_diversity,False,173438704,0.173439,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04830w13620.laz,0,1,3,3,101237.509,0.0,6.554,,,,,19.054,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=2.89; downloaded=no,-123.7322669653,45.4416848439,-123.7201283943,45.4502292939
