selection_rank,tile_name,selection_category,already_downloaded,size_bytes,size_gb,download_url,new_positive_polygon_count,positive_polygon_count,high_confidence_polygon_count,moderate_confidence_polygon_count,positive_intersection_m2,new_positive_intersection_m2,min_distance_to_existing_train_km,probe_accepted_patches_2m,probe_positive_patches_2m,probe_negative_patches_2m,probe_retained_polygon_count_2m,static_score,selection_reason,bbox_west,bbox_south,bbox_east,bbox_north
42,USGS_LPC_OR_WesternWildfires_A22_s05130w13980.laz,positive_diversity,False,155324392,0.155324,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05130w13980.laz,0,1,3,3,59011.578,0.0,1.792,,,,,14.2921,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=2.04; downloaded=no,-123.6207895471,45.5435214167,-123.6086448229,45.5520546507
43,USGS_LPC_OR_WesternWildfires_A22_s04590w13770.laz,positive_diversity,False,151108841,0.151109,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04590w13770.laz,0,1,3,4,30802.881,0.0,0.0,,,,,13.5,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=2.74; downloaded=no,-123.8280724535,45.4801611064,-123.8159127032,45.4887145855
44,USGS_LPC_OR_WesternWildfires_A22_s04860w13650.laz,positive_diversity,False,205273427,0.205273,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04860w13650.laz,0,1,2,2,52241.379,0.0,6.328,,,,,15.3281,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.7210452,45.4502292968,-123.7089063682,45.4587726276
45,USGS_LPC_OR_WesternWildfires_A22_s05250w14070.laz,positive_diversity,False,165979369,0.165979,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05250w14070.laz,0,1,3,3,60089.746,0.0,2.706,,,,,15.2056,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.575298463,45.5694263711,-123.5631545246,45.5779550941
46,USGS_LPC_OR_WesternWildfires_A22_s04470w14160.laz,positive_diversity,False,132001372,0.132001,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04470w14160.laz,0,1,1,4,17812.195,0.0,6.637,,,,,15.1371,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.8810810549,45.5856813653,-123.8688917975,45.5942394193
47,USGS_LPC_OR_WesternWildfires_A22_s05280w14070.laz,positive_diversity,False,222394020,0.222394,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05280w14070.laz,0,1,1,7,55729.932,0.0,3.619,,,,,15.119,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.5635914937,45.5697338226,-123.5514490975,45.5782614157
48,USGS_LPC_OR_WesternWildfires_A22_s04830w13590.laz,positive_diversity,False,135428208,0.135428,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04830w13590.laz,0,1,1,4,127573.955,0.0,6.554,,,,,15.0542,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.7318069668,45.4334635882,-123.7196701851,45.442008032
49,USGS_LPC_OR_WesternWildfires_A22_s04830w13710.laz,positive_diversity,False,164184221,0.164184,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04830w13710.laz,0,1,1,5,86978.616,0.0,5.552,,,,,15.0515,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.7336477463,45.4663483803,-123.7215038045,45.474892848
50,USGS_LPC_OR_WesternWildfires_A22_s04380w13980.laz,positive_diversity,False,19931967,0.019932,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04380w13980.laz,0,1,2,0,11521.981,0.0,8.387,,,,,15.0,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.81; downloaded=no,-123.9106659036,45.5354169099,-123.9011007733,45.543901825
51,USGS_LPC_OR_WesternWildfires_A22_s04860w13740.laz,positive_diversity,False,163423242,0.163423,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04860w13740.laz,0,1,2,3,27333.517,0.0,4.858,,,,,14.8578,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.7224213932,45.4748928508,-123.7102771903,45.4834361983
