tile_name,reason
USGS_LPC_OR_WesternWildfires_A22_s04740w14520.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04740w14550.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04770w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04770w13320.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04770w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04770w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04770w14040.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04770w14070.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04770w14130.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s04770w14550.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04800w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04800w13320.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04800w13380.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04800w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04800w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04830w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04830w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04830w13380.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04830w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04830w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04860w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04860w13290.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04860w13350.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04860w13380.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04860w13860.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04860w13980.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04860w14010.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04890w13260.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04890w13380.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04890w13770.laz,explicit_exclusion:dropped_split_buffer: footprint is 0.000 m from a differently assigned block (required > 500.000 m)
USGS_LPC_OR_WesternWildfires_A22_s04890w13980.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04890w14010.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04920w13410.laz,low_or_unknown_slido_overlap_only
