epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity
1,1.9364228248596191,1.6356512308120728,0.022463643156866126,0.011359408427123059,0.011368572935737115,0.9337368588722523,0.6603910595916191
2,1.8574016179357256,1.7358800172805786,0.018975658062142523,0.009578710195746687,0.00958536030246118,0.9324625676967186,0.5970360747476766
3,1.7758533614022392,1.7933589220046997,0.01820435811366852,0.00918578976000829,0.009189290543476107,0.9601784007645747,0.5670010992305387
4,1.7349578993661063,1.7862510283788045,0.013413125811432653,0.006751844576095531,0.006753090608109676,0.9733991717107359,0.4012138169947703
5,1.6845060672078813,1.6605507930119832,0.018213514427705357,0.00919045243284405,0.009195110982671466,0.947754061803122,0.5728769861097232
6,1.645408741065434,1.845250129699707,0.015820661465095056,0.007973402987240483,0.007974684200432297,0.980248486779229,0.4899983344991839
7,1.648738145828247,1.5057424306869507,0.019944600258624576,0.010072748601493492,0.01008201605271459,0.9163746416056069,0.6236854202058559
8,1.670699451650892,1.5893831253051758,0.018567181356094753,0.00937058333817351,0.00938634396260977,0.8480407773176171,0.6256733619799474
9,1.6111426438604082,2.108008543650309,0.014105016181968404,0.0071025992295173914,0.007103399286901469,0.9843899330997132,0.42451883681423
10,1.593744695186615,1.4902641773223877,0.022884146012365596,0.011574509387606539,0.011587490207113228,0.9117553360942976,0.6747230272142833
11,1.6037805250712804,1.6211318969726562,0.01625316742937105,0.008193166165417117,0.008207784105197149,0.8214399490283529,0.5848579327803871
12,1.5854917934962682,1.436201771100362,0.024643053118554296,0.012475240567260015,0.012491616917884274,0.9049060210258044,0.7008067685953167
13,1.5276783108711243,1.6661000649134319,0.019646924335229334,0.009920919949405586,0.009931620364118493,0.9020388658808538,0.6239059325139069
14,1.505883812904358,1.536364754041036,0.021463316222456345,0.01084807595352605,0.010859004940894501,0.9151003504300733,0.6513713733719729
15,1.5837924480438232,1.382527192433675,0.022169783837324476,0.011209144069169698,0.011256452861446525,0.7273016884358076,0.7328083674761
16,1.704003938606807,1.7918401559193928,0.0186092705745286,0.009392024651253206,0.009398547614109718,0.9311882765211851,0.5895106758602312
17,1.5688779183796473,1.69567076365153,0.019877282776153644,0.010038409540607569,0.010050503511222107,0.8929595412551768,0.6321395023483561
18,1.527175179549626,1.708296259244283,0.017555602194024855,0.008855533206103595,0.008856648209354567,0.9859827970691303,0.5385097098697579
19,1.4247250812394279,1.4735860029856365,0.022108222696152837,0.011177670563092964,0.011204275714332083,0.8247849633641287,0.6955684354285333
20,1.489154773099082,1.498733123143514,0.020892137305377822,0.010556340914604053,0.010583563608307511,0.8040777317617076,0.6856080743479565
21,1.4690679822649275,1.6755038102467854,0.0207690464064232,0.010493493126061931,0.010508046822007405,0.8834023574386748,0.6520835415209354
22,1.4791632464953832,1.5359272956848145,0.020393954338429405,0.010302026700274037,0.010314383282776228,0.8958266964001275,0.64049565304287
23,1.4757220659937178,1.3136494954427083,0.012596149868087313,0.006337992083114487,0.006426472259656757,0.31522777954762665,0.7961653509210219
24,1.4741697907447815,1.4397762219111125,0.029296379286589656,0.014865948881742112,0.014873903172363012,0.9652755654667091,0.7326105059791479
25,1.4736450910568237,1.4402248859405518,0.024976200101720112,0.012646024874741493,0.012695988354055795,0.7626632685568653,0.7519476366543419
26,1.5598023533821106,1.2803417046864827,0.030753968253968252,0.015617128463476071,0.015748516360445514,0.6517999362854412,0.8296245961160521
27,1.431812652519771,1.5106401443481445,0.01963906699955234,0.009916912958789367,0.009958778022474447,0.7022937241159605,0.7079937377169315
28,1.4427704215049744,1.3672191301981609,0.02771966910194228,0.014054629388977587,0.014075533905973053,0.9044281618349793,0.7350408047699943
29,1.6293991122926985,1.6635627746582031,0.018730413499842037,0.00945374300774921,0.009473189294818581,0.8215992354252947,0.640700842743413
30,1.4981831908226013,1.5422138770421345,0.021640083831339533,0.010938395816898797,0.010966831547306481,0.8083784644791335,0.6950907697944771
