epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity,validation_ignore_fraction
1,1.6925786531888523,1.562314544405256,0.1116673947848763,0.05913544810722307,0.06134825590632818,0.621137657203231,0.5047427026531641,0.16306333188657407
2,1.6585766883996818,2.201839191573007,0.10150117143435629,0.053463910489237744,0.05429508602549821,0.7774036331413381,0.2943612226201856,0.16306333188657407
3,1.664711332321167,1.717567699296134,0.0947743758441189,0.04974443690159223,0.051340773481165704,0.6153641661838383,0.407455756621188,0.16306333188657407
4,1.6594252623044528,1.6140303441456385,0.10976819851591317,0.058071289685069485,0.06045010431370706,0.5960737534508026,0.517204130341113,0.16306333188657407
5,1.6265131932038528,1.5466573749269759,0.15761690366728948,0.08555055893697035,0.08917464720792384,0.6779455369619304,0.6391478729325827,0.16306333188657407
6,1.6041721105575562,1.5099773066384452,0.12196159190464025,0.0649409465636698,0.06884771335685914,0.5336764254797042,0.6238596147226789,0.16306333188657407
7,1.623912840623122,1.5568085738590784,0.1192245720562026,0.0633911791300611,0.06587053454823628,0.6274428274428274,0.5363067270964742,0.16306333188657407
8,1.6050605645546547,1.5264080251966203,0.12147401015199426,0.0646645352837641,0.06784480991312297,0.579741658430183,0.5849056201639192,0.16306333188657407
9,1.5715650246693538,1.484284826687404,0.06322035768973573,0.032641998247319504,0.03658861267729621,0.23231655362802903,0.6812231743267806,0.16306333188657407
10,1.5780841662333562,1.4764238255364555,0.14282437959729832,0.07690407844484244,0.08036571201973162,0.6409870147575065,0.6177615750681931,0.16306333188657407
11,1.5797243705162636,1.399799874850682,0.14005876488687707,0.07530279034775988,0.0827881434234449,0.45440169046726425,0.7376493117459817,0.16306333188657407
12,1.567707245166485,1.7443742070879256,0.09525494981436375,0.05000929116738233,0.05164174405430808,0.6127057700828192,0.413640114423052,0.16306333188657407
13,1.5906349970744207,1.418697816984994,0.13553106161435993,0.0726915095360667,0.0777763680194305,0.5264851232064347,0.6746764934371566,0.16306333188657407
14,1.565256326015179,1.4585544552121843,0.13469942032855134,0.07221325173891122,0.07694893452481574,0.5398861661156743,0.6625059898755562,0.16306333188657407
15,1.5543262555049016,1.6078484228679113,0.0871672683831537,0.045569728571862346,0.04825618146674413,0.4501141747043386,0.5373734488930852,0.16306333188657407
16,1.5832780214456412,1.6040674448013306,0.1236088670682533,0.06587585333294663,0.0692788862619408,0.5728502777683105,0.5989481263456129,0.16306333188657407
17,1.5682191995474009,1.5550681522914342,0.10508877396182191,0.055458415422203325,0.05898765347480585,0.4810401826795269,0.6000954827901862,0.16306333188657407
18,1.5482485972917996,1.4986741372517176,0.13350779567323595,0.07152871861117238,0.07584157056052739,0.557097576769708,0.6462380384538466,0.16306333188657407
19,1.546740984916687,1.5918103797095162,0.12509466506563924,0.06672052328978985,0.06993302495245102,0.5922429365052316,0.5895383826252582,0.16306333188657407
20,1.5505989734943098,1.5071965966905867,0.13370276407561968,0.0716406591093709,0.07588665092527506,0.5614805221362599,0.6436840159038523,0.16306333188657407
21,1.5465336872981146,1.5408835581370763,0.1253669064528119,0.0668754365237371,0.07060522083406197,0.5586857980300604,0.6167591478587239,0.16306333188657407
22,1.5015241182767427,1.6559969867978777,0.1289178336809546,0.0689001455957292,0.07119507804703266,0.6812719402883337,0.5368349373234341,0.16306333188657407
23,1.5120433147136982,1.4062799555914742,0.15683445434949753,0.08508972768050872,0.09140181198637906,0.5519989093759585,0.7140460938907,0.16306333188657407
24,1.5193558821311364,1.6485858985355921,0.1169284093444889,0.06209451086444635,0.0638975288073534,0.6875566613271531,0.47508549226386926,0.16306333188657407
25,1.5392092172916119,1.6037659985678536,0.12351033440407579,0.0658198852189533,0.06965529870333714,0.544494052690774,0.6210136023901957,0.16306333188657407
26,1.509682459097642,1.534420166696821,0.14318541592197315,0.07711347010615478,0.08161602049132612,0.582952182952183,0.6581602441347174,0.16306333188657407
27,1.5312221435400155,1.5282501833779472,0.13164426212804617,0.07045995548898423,0.07430033398538331,0.5768446883200982,0.6254765703064863,0.16306333188657407
28,1.5263285783620981,1.7713064295904977,0.11539997419719486,0.06123313839393406,0.06284957154102877,0.7042159435602059,0.4527905449303718,0.16306333188657407
29,1.522186039044307,1.549689599445888,0.12306144542740603,0.06556498353534483,0.06889959183673469,0.575317814662077,0.5948382458305316,0.16306333188657407
30,1.478576031097999,1.5258817672729492,0.13619756769740335,0.07307510996706923,0.0770273663965567,0.5874919055246924,0.6331517810488685,0.16306333188657407
