left_id,right_id,left_project,right_project,iou,smaller_overlap,left_overlap,right_overlap,intersection_area,left_area,right_area,area_ratio_small_to_large
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04560w14400,USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_002409,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5610275595790399,1.0,1.0,0.5610275595790399,0.00010435977993171731,0.00010435977993171731,0.00018601542499983845,0.5610275595790399
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05100w13470,USGS Lidar Point Cloud OR_OLC_TILLAMOOKYAMHILL_2012 000606,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5610169452025145,1.0,1.0,0.5610169452025145,0.00010340040107248861,0.00010340040107248861,0.00018430887330000945,0.5610169452025145
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05160w13410,USGS Lidar Point Cloud OR_COAST_CENTRAL_OLC_2011_2012 OR_Coast_Central_OLC_2011-2012_000862,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5610143624608571,1.0,1.0,0.5610143624608571,0.00010331644827859706,0.00010331644827859706,0.00018416007715988842,0.5610143624608571
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04980w13740,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000476,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609956047206802,1.0,1.0,0.5609956047206802,0.00010364513346493099,0.00010364513346493099,0.00018475213101987832,0.5609956047206802
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04890w13830,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000611,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609940336240653,1.0,1.0,0.5609940336240653,0.00010377148841800333,0.00010377148841800333,0.00018497788246985694,0.5609940336240653
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05040w13560,USGS Lidar Point Cloud OR_OLC_TILLAMOOKYAMHILL_2012 000665,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609920127334442,1.0,1.0,0.5609920127334442,0.00010349971745008566,0.00010349971745008566,0.00018449410169991783,0.5609920127334442
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04650w14220,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000654,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609884575224434,1.0,1.0,0.5609884575224434,0.00010418632620524495,0.00010418632620524495,0.0001857191976201699,0.5609884575224434
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04710w14160,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000661,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609796678375928,1.0,1.0,0.5609796678375928,0.00010410174777589814,0.00010410174777589814,0.00018557133840015795,0.5609796678375928
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04710w13350,USGS Lidar Point Cloud OR_COAST_CENTRAL_OLC_2011_2012 OR_Coast_Central_OLC_2011-2012_000797,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609724857065295,1.0,1.0,0.5609724857065295,0.00010368579224818792,0.00010368579224818792,0.00018483222420008445,0.5609724857065295
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04740w14160,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000662,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609513480880335,1.0,1.0,0.5609513480880335,0.00010407494683359958,0.00010407494683359958,0.00018553292934999144,0.5609513480880335
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04800w13980,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000593,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609466566835827,1.0,1.0,0.5609466566835827,0.00010392877134823713,0.00010392877134823713,0.00018527389388980884,0.5609466566835827
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04620w14310,USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_002397,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.560936404604305,1.0,1.0,0.560936404604305,0.0001042595807379913,0.0001042595807379913,0.00018586702499998718,0.560936404604305
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04680w14250,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000650,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609315890006771,1.0,1.0,0.5609315890006771,0.00010417493491577168,0.00010417493491577168,0.0001857177184500585,0.5609315890006771
USGS Lidar Point Cloud OR_WesternWildfires_A22 s05070w13470,USGS Lidar Point Cloud OR_OLC_TILLAMOOKYAMHILL_2012 000676,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609265140760626,1.0,1.0,0.5609265140760626,0.00010342713957478005,0.00010342713957478005,0.0001843862555599487,0.5609265140760626
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04740w14070,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000672,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5609263442596045,1.0,1.0,0.5609263442596045,0.00010402866180685304,0.00010402866180685304,0.00018545868432007025,0.5609263442596045
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04770w14070,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000673,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5608937066418287,1.0,1.0,0.5608937066418287,0.00010400180851546596,0.00010400180851546596,0.0001854216000000133,0.5608937066418287
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04680w14160,USGS Lidar Point Cloud OR_TILLAMOOK_ODF_2007 000660,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5608935765931958,1.0,1.0,0.5608935765931958,0.00010412858123741077,0.00010412858123741077,0.0001856476621997991,0.5608935765931958
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04590w14400,USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_002408,USGS_LPC_OR_WesternWildfires_A22,USGS_LPC_legacy,0.5608830622052973,1.0,1.0,0.5608830622052973,0.00010433290119143482,0.00010433290119143482,0.00018601542500002675,0.5608830622052973
