split,category,channel,patch_statistic,count,min,p10,p25,median,p75,p90,max,mean,std
train,negative,aspect_cos,mean,241,-0.909753977546643,-0.6972568438377493,-0.5204202450622688,-0.0007527902216679649,0.3869775627999843,0.6066140622515377,0.8838165171910077,-0.03934831656541713,0.4995795603634389
train,negative,aspect_cos,std,241,0.1257576881102815,0.29296266041952024,0.4063490868288854,0.5196609185391325,0.6053585250980904,0.6802835917056606,0.8148438501122027,0.5041868742829828,0.1437318839702614
train,negative,aspect_cos,p10,241,-0.9990234375,-0.9951171875,-0.98779296875,-0.9052734375,-0.484130859375,-0.0395050048828125,0.72216796875,-0.6840251115347834,0.41133362716015054
train,negative,aspect_cos,median,241,-0.96630859375,-0.84619140625,-0.7099609375,-0.0374908447265625,0.55517578125,0.77783203125,0.93505859375,-0.044627480487111196,0.6384699869296784
train,negative,aspect_cos,p90,241,-0.76806640625,-0.2161865234375,0.21014404296875,0.91357421875,0.978515625,0.99267578125,1.0,0.6063584608655748,0.5016188615251425
train,negative,aspect_sin,mean,241,-0.8975381013942751,-0.5487351268584462,-0.36143328581238165,-0.09894589483974414,0.20797140320792096,0.4859430364722357,0.8307638335973024,-0.06763383497560366,0.3903665188304589
train,negative,aspect_sin,std,241,0.18376553023818998,0.3678396974457874,0.4713666371385548,0.5615572760347042,0.6417079865136048,0.692534125968823,0.7897476854049769,0.5485602600121605,0.12701215479576355
train,negative,aspect_sin,p10,241,-0.99853515625,-0.99169921875,-0.982421875,-0.9443359375,-0.640625,-0.2401123046875,0.5732421875,-0.7578228202598224,0.3502512633973507
train,negative,aspect_sin,median,241,-0.958984375,-0.75390625,-0.59130859375,-0.14093017578125,0.346435546875,0.6904296875,0.94384765625,-0.10482115369614724,0.525160080649668
train,negative,aspect_sin,p90,241,-0.75390625,0.19976806640625,0.5234375,0.81201171875,0.94970703125,0.9833984375,0.99853515625,0.6864332381125803,0.35241267212551525
train,negative,curvature,mean,241,-0.005404988448390213,-0.0028703477528324584,-0.0012593067776833777,9.062233948498033e-05,0.0012208906437081168,0.0023992121296032565,0.006393353557541559,-7.762058169899327e-05,0.002033393657078106
train,negative,curvature,std,241,0.015610507460843647,0.10989854729576559,0.15911355821481138,0.20951619657689308,0.2628643220436815,0.31560078293578286,1.3574796587401536,0.21851741663459645,0.12601455681833726
train,negative,curvature,p10,241,-0.3779296875,-0.3037109375,-0.2666015625,-0.214599609375,-0.16259765625,-0.10546875,-0.0148773193359375,-0.20844901943602503,0.07659716068158258
train,negative,curvature,median,241,-0.0047760009765625,-0.0006003379821777344,0.0006155967712402344,0.00226593017578125,0.0036525726318359375,0.0049457550048828125,0.00884246826171875,0.002095122925968091,0.0024155284812932476
train,negative,curvature,p90,241,0.0151824951171875,0.09820556640625,0.15545654296875,0.2066650390625,0.261962890625,0.299560546875,0.365478515625,0.20388645156290522,0.07664441876870683
train,negative,local_relief,mean,241,-2.4973738621920347,-1.0452098231762648,-0.5766259082593024,-0.02760581113398075,0.5732557140290737,1.2837354112416506,2.395912481471896,0.037143465345029825,0.8768638114662283
train,negative,local_relief,std,241,0.20718604040286323,1.2219570219031408,2.201886218901663,3.451965149082271,4.59349927913607,5.3249452629491785,9.085370565853173,3.4508564772163086,1.6357782382266364
train,negative,local_relief,p10,241,-11.0859375,-8.19140625,-6.10546875,-3.955078125,-1.8037109375,-0.8857421875,-0.02984619140625,-4.273156890235996,2.78617014260329
