epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity,validation_gt_positive_fraction,validation_predicted_positive_fraction,lr,elapsed_hours
1,1.5832902292008342,1.5179741499679429,0.13385491837896912,0.07172803427625025,0.17727236257606033,0.10752094974579655,0.8826554881624087,0.19038516129173683,0.11547425138428556,9.999999999999999e-05,0.06376054737302993
2,1.4474744869147236,1.448774020586695,0.0988761901060208,0.05200933763042759,0.23062063099874894,0.06292794510788804,0.950632564489646,0.19038516129173683,0.051949155317278686,0.00019999999999999998,0.10527161320050557
3,1.4072351853857157,1.4277500925319535,0.03632180624417774,0.01849682211661523,0.20534986635069244,0.019922857440982704,0.9818704176049258,0.19038516129173683,0.018470995353929924,0.0003,0.14662456552187603
4,1.40230060275267,1.470191318009581,0.007403298568001172,0.003715402400636677,0.2561232188533188,0.0037559323131613697,0.9974347810121337,0.19038516129173683,0.002791913136354868,0.00029946502704856516,0.18786885473463272
5,1.406274784914395,1.429085516503879,0.07576876582614932,0.03937612303579506,0.19950634282694715,0.046764528095507095,0.955876253524659,0.19038516129173683,0.044626512110032615,0.00029786396268663466,0.2291018632385466
6,1.3901911592676572,1.3964833808796746,0.11030027843866311,0.05836920923475033,0.24517445359857232,0.07115618489747308,0.9484844114591627,0.19038516129173683,0.05525486664606131,0.00029520834261962455,0.27069172812832726
7,1.379383827510633,1.4302723950573377,0.07134972299883423,0.036994640163469664,0.3029347349978099,0.04043687730950933,0.9781195315222077,0.19038516129173683,0.025413333366214225,0.00029151730065097095,0.3128346610731549
8,1.3756065163535145,1.422787929219859,0.08713036913403381,0.045549559535110314,0.2696784434562368,0.051958877690904445,0.9669111033758376,0.19038516129173683,0.036681461013126054,0.0002868174308226381,0.3539919760492113
9,1.3594717178267506,1.42217306047678,0.09942536368494087,0.052313317133239425,0.27800207693585044,0.0605381988795619,0.9630280769555543,0.19038516129173683,0.04145859227035985,0.0002811425958044364,0.3951367727253172
10,1.3636407236821255,1.4116255630339896,0.12713117701076074,0.06788044920724871,0.4198708220096707,0.07490582059317734,0.9756623177470206,0.19038516129173683,0.03396510542710087,0.0002745336829127106,0.4362806851334042
11,1.339539997370137,1.4621867228831564,0.07825482554312257,0.04072070875122083,0.33968396767125675,0.04422114440122766,0.9797855743279774,0.19038516129173683,0.024784948689367634,0.00026703830951628824,0.47742948008908165
12,1.3475302329912842,1.4631344803742,0.041730056214769745,0.02130965465062891,0.2908563526908554,0.022477485095006963,0.9871128163308959,0.19038516129173683,0.014713034752911055,0.00025871047995224683,0.518528921339247
13,1.3186143303689686,1.3936451928956168,0.15838246187696534,0.08600182100697618,0.35507294744531176,0.101922897019721,0.9564669189298405,0.19038516129173683,0.05464963559751158,0.00024961019642342705,0.559682870970832
14,1.3051273143484525,1.4057618624397688,0.1786256202734802,0.09807188585814022,0.35081458429573975,0.11981653455763563,0.947861022970547,0.19038516129173683,0.06502377973528689,0.00023980302668118655,0.6009503813584646
15,1.3142559536796832,1.5110830143094063,0.0937423679053802,0.04917612725955353,0.411607252853095,0.05289446509335185,0.9822192875564965,0.19038516129173683,0.024465849905303032,0.0002293596316082489,0.642138715452618
16,1.2822771010852536,1.396663055888244,0.1393374566508197,0.07488593627515777,0.37507551249919163,0.08556140641247521,0.966477115332645,0.19038516129173683,0.043430247023183224,0.00021835525610542446,0.6834752694765727
17,1.2361011254160028,1.4605428065572466,0.13806988142538393,0.07415416940088068,0.3743839542231288,0.08464272992548404,0.9667390269157621,0.19038516129173683,0.04304329714791141,0.00020686918695037582,0.7245205297072729
18,1.2422820497379612,1.4913489914366178,0.07739233470632692,0.04025383654886524,0.332113796184513,0.04379945093495774,0.9792871977482795,0.19038516129173683,0.025108157584964225,0.0001949841815345677,0.765417196419504
19,1.2089478309579225,1.4948015691978591,0.15028052903217629,0.08124503817519173,0.37706817682369675,0.09384028899675094,0.963544369793603,0.19038516129173683,0.04738081772586981,0.00018278587159436535,0.8063541559378306
20,1.2030481325711315,1.4009413591453008,0.24030823759571657,0.13656268826727994,0.3713056916044646,0.17763738319774616,0.9292710963836318,0.19038516129173683,0.09108269174492319,0.00017036214623241145,0.847280144294103
21,1.12414504002463,1.5199562023792947,0.09095197251566588,0.04764257955077154,0.3391242829561375,0.05251864698284082,0.9759326057626132,0.19038516129173683,0.029484090580281987,0.00015780251867462803,0.888250180416637
22,1.1358996768470717,1.4476600012608938,0.1035091224480609,0.0545792883442046,0.3617222787297866,0.060395895325031396,0.9749391101047359,0.19038516129173683,0.03178815060325477,0.00014519748132537201,0.929144897196028
23,1.0978540851760972,1.6036995239555836,0.040222200024324806,0.0205238573601681,0.2843814825978263,0.021641564151737687,0.9871937039010653,0.19038516129173683,0.014488400032223275,0.00013263785376758848,0.9700770836406284
24,1.1068834650371722,1.554824638579573,0.05244447009440584,0.026928356747264622,0.30473563578587937,0.028691077153353218,0.9846068246433628,0.19038516129173683,0.017924898535046647,0.00012021412840563467,1.010971484846539
25,1.0626691842248082,1.4915269315242767,0.11327042579521089,0.06003532638902512,0.3966200137048363,0.06606959741227013,0.9763640766455417,0.19038516129173683,0.031714665234155795,0.00010801581846543226,1.0518985211849212
26,1.0428007513525999,1.5123219080269337,0.16053858326363254,0.08727477608552689,0.3133255696670651,0.10791565770867889,0.9443847188826956,0.19038516129173683,0.06557249675027181,9.613081304962417e-05,1.0927920354737175
27,1.0486322432635766,1.573313049439873,0.21035638944477741,0.11754093843271736,0.42560899078395314,0.1397018821489096,0.9556642832472874,0.19038516129173683,0.06249201953344206,8.46447438945755e-05,1.1337141237656276
