mask,tp_plain,fp_plain,fn_plain,tn_plain,precision_plain,recall_plain,f1_plain,iou_plain,gt_positive_fraction_plain,pred_positive_fraction_plain,tp_efficientnet,fp_efficientnet,fn_efficientnet,tn_efficientnet,precision_efficientnet,recall_efficientnet,f1_efficientnet,iou_efficientnet,gt_positive_fraction_efficientnet,pred_positive_fraction_efficientnet,f1_change,precision_change,recall_change,iou_change,fp_change,fn_change,pred_positive_fraction_change
mask_17.h5,0,6,8,16370,0.0,0.0,0.0,0.0,0.00048828125,0.0003662109375,0,8,8,16368,0.0,0.0,0.0,0.0,0.00048828125,0.00048828125,0.0,0.0,0.0,0.0,2,0,0.0001220703125
mask_18.h5,0,0,0,16384,,,,,0.0,0.0,0,0,0,16384,,,,,0.0,0.0,,,,,0,0,0.0
mask_19.h5,16,49,2,16317,0.24615384615384617,0.8888888888888888,0.3855421686746988,0.23880597014925373,0.0010986328125,0.00396728515625,15,83,3,16283,0.15306122448979592,0.8333333333333334,0.25862068965517243,0.1485148514851485,0.0010986328125,0.0059814453125,-0.12692147901952638,-0.09309262166405025,-0.05555555555555547,-0.09029111866410522,34,1,0.00201416015625
mask_20.h5,707,331,181,15165,0.6811175337186898,0.7961711711711712,0.7341640706126688,0.5799835931091059,0.05419921875,0.0633544921875,642,168,246,15328,0.7925925925925926,0.722972972972973,0.7561837455830389,0.6079545454545454,0.05419921875,0.0494384765625,0.022019674970370162,0.11147505887390285,-0.07319819819819817,0.02797095234543956,-163,65,-0.013916015625
mask_21.h5,0,0,0,16384,,,,,0.0,0.0,0,0,0,16384,,,,,0.0,0.0,,,,,0,0,0.0
mask_22.h5,0,39,0,16345,0.0,,0.0,0.0,0.0,0.00238037109375,0,16,0,16368,0.0,,0.0,0.0,0.0,0.0009765625,0.0,0.0,,0.0,-23,0,-0.00140380859375
mask_23.h5,0,61,0,16323,0.0,,0.0,0.0,0.0,0.00372314453125,0,0,0,16384,,,,,0.0,0.0,,,,,-61,0,-0.00372314453125
mask_24.h5,21,11,32,16320,0.65625,0.39622641509433965,0.49411764705882355,0.328125,0.00323486328125,0.001953125,18,1,35,16330,0.9473684210526315,0.33962264150943394,0.5,0.3333333333333333,0.00323486328125,0.00115966796875,0.00588235294117645,0.2911184210526315,-0.0566037735849057,0.005208333333333315,-10,3,-0.00079345703125
mask_25.h5,0,57,0,16327,0.0,,0.0,0.0,0.0,0.00347900390625,0,20,0,16364,0.0,,0.0,0.0,0.0,0.001220703125,0.0,0.0,,0.0,-37,0,-0.00225830078125
mask_26.h5,0,0,0,16384,,,,,0.0,0.0,0,58,0,16326,0.0,,0.0,0.0,0.0,0.0035400390625,,,,,58,0,0.0035400390625
mask_27.h5,0,3,0,16381,0.0,,0.0,0.0,0.0,0.00018310546875,0,27,0,16357,0.0,,0.0,0.0,0.0,0.00164794921875,0.0,0.0,,0.0,24,0,0.00146484375
mask_28.h5,0,0,0,16384,,,,,0.0,0.0,0,15,0,16369,0.0,,0.0,0.0,0.0,0.00091552734375,,,,,15,0,0.00091552734375
mask_29.h5,21,4,623,15736,0.84,0.03260869565217391,0.06278026905829596,0.032407407407407406,0.039306640625,0.00152587890625,51,14,593,15726,0.7846153846153846,0.07919254658385093,0.14386459802538787,0.07750759878419453,0.039306640625,0.00396728515625,0.0810843289670919,-0.055384615384615365,0.046583850931677016,0.04510019137678712,10,-30,0.00244140625
