run,architecture,total_params,trainable_params,best_epoch,threshold,dice,iou,precision,recall,specificity,fp,fn,gt_positive_fraction,predicted_positive_fraction
SAM2_UNet_7ch,SAM2-UNet Hiera-L + terrain input adapter,216529915,4380619,5,0.45,0.4243081497212636,0.26928371156213343,0.380276836663057,0.4798712536496927,0.8699302643606611,6512007,4331149,0.14260496060321093,0.1799531673341488
7ch_UNet,deep,7767137,7767137,21,0.45,0.40849057837284886,0.2566686523006632,0.2960911461430049,0.6584425664198131,0.7396470084542242,13034704,2844173,0.14260496060321093,0.31712253968723697
EfficientNetV2_7ch,smp.Unet + EfficientNetV2-S encoder,22094337,22094337,20,0.3,0.34094954889181023,0.2055088491516743,0.3140740801357327,0.37285492233572126,0.8085128498704699,9052650,6972022,0.19038516129173683,0.22601688269412878
