epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity,validation_ignore_fraction
1,1.3686257142287035,1.3679228510175432,0.10705358524299885,0.056553943845653654,0.07157947975217537,0.21223543846494666,0.8565452777757057,0.16306333188657407
2,1.3376514233075656,1.4334379264286585,0.14556676850908867,0.07849663500262942,0.08359732631152522,0.5626529429808118,0.6785782157861328,0.16306333188657407
3,1.342279127927927,1.360459634235927,0.11444103310489841,0.06069342572369685,0.07588864772545321,0.23260965883916704,0.8523899292652976,0.16306333188657407
4,1.344833544584421,1.3820135252816337,0.16031645312524076,0.08714349454153958,0.10089067855178348,0.3900753212228622,0.8188448500568527,0.16306333188657407
5,1.3216849721395052,1.3472863606044225,0.1696006064129643,0.09265770465570237,0.1161511923572208,0.31417470433863876,0.8754148510550174,0.16306333188657407
6,1.3127644337140596,1.3084774017333984,0.11898904232653784,0.06325802720134605,0.08527037921899963,0.19681674107903616,0.8899734900274122,0.16306333188657407
7,1.319096882526691,1.3601544754845756,0.1636709268164299,0.08912940997698204,0.10663934019800671,0.351835315769742,0.8464005865371397,0.16306333188657407
8,1.3094153642654418,1.349329148020063,0.12935542932256702,0.06915019098241758,0.08395064236022952,0.2817286391056883,0.8397984915282113,0.16306333188657407
9,1.284187808403602,1.3367186614445277,0.04421686341775132,0.022608264991496322,0.029348930138071903,0.08961521420537814,0.8455480616247633,0.16306333188657407
10,1.2851883998283973,1.337808404650007,0.1950786547638074,0.10808152680929115,0.12336507970885018,0.4659282233052725,0.827461390389984,0.16306333188657407
11,1.287129803804251,1.2480662890842982,0.018451475758319024,0.009311644672128442,0.01773433079776199,0.019229065130704475,0.9444974312358734,0.16306333188657407
12,1.2764815715643076,1.4675257035664149,0.08457374458266563,0.04415400715296066,0.0504361190657594,0.2617156879451961,0.7432248246729235,0.16306333188657407
13,1.3009653201470008,1.3202516862324305,0.06531184355684515,0.03375833120150914,0.04517551997449453,0.11783511127773423,0.8702116073398133,0.16306333188657407
14,1.2785293579101562,1.359237585748945,0.1292045066176707,0.069063939417597,0.08221912832704743,0.3015030162571146,0.8246125363077927,0.16306333188657407
15,1.2762869944939246,1.4243303537368774,0.05944743005001419,0.030634279622502748,0.03518933302583142,0.19137043727207662,0.7265696848535096,0.16306333188657407
16,1.2827472099891075,1.3432000023978097,0.16372944261448721,0.08916411688678691,0.10147052101630502,0.42369380730036466,0.804482647033018,0.16306333188657407
17,1.276838913330665,1.3667008365903581,0.13214149483989912,0.0707449169596349,0.08200467189089934,0.3400361269213728,0.8016337929508267,0.16306333188657407
18,1.259837977702801,1.3358374663761683,0.1541558008369216,0.08351506638903605,0.09461557430823848,0.4158344978017109,0.7926368133755475,0.16306333188657407
19,1.2620970762692965,1.4340378386633736,0.14243349333310634,0.07667746636360304,0.08439038290832795,0.45621485293616443,0.7420547342306868,0.16306333188657407
20,1.267575973730821,1.3578332151685442,0.15551641560821583,0.08431433975569762,0.09452100287130837,0.43845813026140895,0.7811135183099261,0.16306333188657407
21,1.253903443996723,1.306486691747393,0.08203606793779737,0.04277247687843215,0.0588570107255296,0.1353328107426468,0.8872280045908466,0.16306333188657407
22,1.2338970771202675,1.4571841273988997,0.15245564762830613,0.08251799066831533,0.08803976534559135,0.5681605943901026,0.6933034523351546,0.16306333188657407
23,1.228448628462278,1.2935210806982858,0.18102384868421054,0.09951963831590845,0.11536625768593649,0.42012882996489553,0.8321165316302728,0.16306333188657407
24,1.242692808004526,1.3661730800356184,0.16482903609871072,0.08981671971766036,0.10024495309612749,0.46334480760710267,0.7832760898376544,0.16306333188657407
25,1.2476109101222113,1.356293933732169,0.06498472656237532,0.03358357293321391,0.04242580849516434,0.13877509287345352,0.836772028089275,0.16306333188657407
26,1.23136742573518,1.4197029386247908,0.15164776204488487,0.08204483914421913,0.08959840705137334,0.49320745714188335,0.7388421361858817,0.16306333188657407
27,1.2481344314721914,1.3643909011568343,0.126871364957917,0.06773232899462168,0.07743715659547323,0.3508401213319246,0.7821805953252506,0.16306333188657407
28,1.2407469309293306,1.4400324140276228,0.13156954754853234,0.07041715006084759,0.07736837114733477,0.4393851606966361,0.7269444405962417,0.16306333188657407
29,1.233862275343675,1.3445722716195243,0.05658758902732771,0.029117643124963774,0.03589914599132616,0.13355373027504175,0.813088886023458,0.16306333188657407
30,1.2055415529471176,1.3307192836488997,0.11786300870352545,0.06262190757025488,0.07620518517334526,0.25998432227940427,0.8357600099745415,0.16306333188657407
