epoch,train_loss,validation_loss,validation_threshold,validation_tp,validation_fp,validation_fn,validation_tn,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity,validation_gt_positive_fraction,validation_predicted_positive_fraction
1,1.9738773297056367,1.9000410055365797,0.5,6117079,31841605,2209992,18223900,0.2643179958931209,0.15228480520493132,0.16115097667769515,0.7346015183490089,0.3640011221298976,0.14260496060321093,0.6500601035309694
2,1.95705696178388,1.8893703636567154,0.5,6937938,31087581,1389133,18977924,0.2993549227777779,0.17602433734541154,0.18245478779658472,0.8331786771122763,0.3790618710427469,0.14260496060321093,0.6512046839653041
3,1.9174924674215197,1.8608919235088366,0.5,5846896,23050507,2480175,27014998,0.31414257190041156,0.18633993994055245,0.2023329224428922,0.7021551755713383,0.5395930391593973,0.14260496060321093,0.49488145547817586
4,1.8900560020495065,1.8124264786061686,0.5,6322185,22383222,2004886,27682283,0.3414400192177256,0.20586534293241682,0.22024369833878335,0.7592327482256366,0.5529212778339098,0.14260496060321093,0.4915934347544455
5,1.8720404887501199,1.816330913738285,0.5,6795388,26163272,1531683,23902233,0.32918821275079274,0.19702291740038655,0.20617913470996696,0.8160598126279937,0.4774191931150999,0.14260496060321093,0.5644323689367635
6,1.876161467274533,1.7739288210868835,0.5,6364538,21170812,1962533,28894693,0.35494190422894206,0.21576253455205582,0.2311406246879012,0.7643189303898094,0.5771377518313258,0.14260496060321093,0.47155566488452233
7,1.8657702404939676,1.8002253834976745,0.5,6258280,21703101,2068791,28362404,0.3449185432324311,0.208399738769395,0.22381870194465717,0.7515583810922232,0.5665059006195983,0.14260496060321093,0.4788516437432046
8,1.8532994508139695,1.8226298296932681,0.5,7271070,28382981,1056001,21682524,0.330645043571194,0.19806754836522705,0.20393390922114293,0.8731845807487411,0.4330830978335283,0.14260496060321093,0.6105921924047331
9,1.8389848677116105,1.7723709195184065,0.5,6799139,23173526,1527932,26891979,0.35504887031075094,0.21584159182760884,0.22684465995933295,0.8165102711385552,0.5371358782858577,0.14260496060321093,0.5132958169202879
10,1.829283312544038,1.8509182063987972,0.5,7133321,29317936,1193750,20747569,0.31860595598835223,0.18948916651815206,0.19569478769963955,0.8566422695327084,0.41440846347200533,0.14260496060321093,0.6242447156296034
11,1.8343121386177932,1.7933551551515212,0.5,6478794,23795922,1848277,26269583,0.3356732681831543,0.20168712174485112,0.21400015775540224,0.7780399614702457,0.5247042449686665,0.14260496060321093,0.5184685806634048
12,1.8221420993684214,1.809810581763229,0.5,6920901,26976318,1406170,23089187,0.32781609826950314,0.19604069739593555,0.20417312110471364,0.8311326996010963,0.46117954867328315,0.14260496060321093,0.5805056279757207
13,1.8279077487655833,1.7880880765850768,0.5,4673558,13391251,3653513,36674254,0.3541663572280565,0.21518964494586645,0.2587106235111592,0.5612487271935114,0.7325253984754573,0.14260496060321093,0.3093682491418087
14,1.8148642934726764,1.7639357776385252,0.5,6470371,21070446,1856700,28995059,0.3607890712717738,0.22009923491157435,0.23493751111305086,0.777028441333093,0.5791424454821738,0.14260496060321093,0.471649289800128
15,1.799577132478545,1.7560272028360666,0.5,5998822,17478585,2328249,32586920,0.37723128170819215,0.23246151928863967,0.25551467417164087,0.7204000061966567,0.6508856746776048,0.14260496060321093,0.40206150521600553
16,1.7911861509009253,1.797445542876496,0.5,5901503,18510766,2425568,31554739,0.36051447585687435,0.21989488199067608,0.24174332176988547,0.7087129436028586,0.6302690644986004,0.14260496060321093,0.4180714514119055
17,1.7814327678197548,1.8054098417406126,0.5,6610154,24114268,1716917,25951237,0.3385352769995247,0.2037571260545072,0.21514331498245923,0.7938150161083051,0.5183456553569169,0.14260496060321093,0.5261700048992529
18,1.771576017790203,1.7572502745106615,0.5,6075955,18180037,2251116,31885468,0.37295173876071747,0.22921983793931802,0.25049295036047176,0.7296629270964544,0.6368749900755021,0.14260496060321093,0.41539513516238774
19,1.7579765879051594,1.735723688597102,0.5,5483970,14419562,2843101,35645943,0.3885124239110302,0.24108930759114985,0.27552747924338256,0.6585713031629009,0.7119860870273854,0.14260496060321093,0.340857235001929
20,1.7394661232187778,1.7736545194424855,0.5,6841910,21428622,1485161,28636883,0.37389935073070224,0.22993616717311877,0.2420156083373316,0.8216466510253125,0.571988298130619,0.14260496060321093,0.4841459982858095
21,1.7541029989266697,1.7449111449344277,0.5,4784681,10580399,3542390,39485106,0.4039043141334022,0.2530577068216953,0.3113996803140628,0.5745935155350543,0.7886688848939005,0.14260496060321093,0.26313413540789843
